amount,payment_method,failure_reason,retry_count,customer_success_rate,is_anomaly,recovered
28272.94,WALLET,INVALID_DETAILS,4,0.53,0,0
18267.5,NET_BANKING,INSUFFICIENT_FUNDS,0,0.71,0,1
60817.78,UPI,TIMEOUT,4,0.43,0,1
92594.73,CARD,NETWORK_ERROR,3,0.35,0,0
12900.22,NET_BANKING,LIMIT_EXCEEDED,2,0.75,0,1
13165.14,WALLET,INVALID_DETAILS,3,0.76,0,0
55019.75,UPI,NETWORK_ERROR,2,0.44,1,0
44457.71,CARD,LIMIT_EXCEEDED,3,0.84,0,0
66553.46,NET_BANKING,INSUFFICIENT_FUNDS,1,0.76,0,1
5098.26,WALLET,LIMIT_EXCEEDED,0,0.61,1,0
49690.53,CARD,BANK_ERROR,0,0.91,0,1
80508.93,WALLET,INSUFFICIENT_FUNDS,4,0.47,0,0
66923.98,NET_BANKING,UNKNOWN,3,0.72,1,0
44868.4,CARD,INVALID_DETAILS,3,0.61,0,0
77878.65,WALLET,INVALID_DETAILS,1,0.49,0,0
33916.83,UPI,BANK_ERROR,1,0.46,0,1
41056.14,WALLET,TIMEOUT,0,0.44,0,0
94633.17,UPI,UNKNOWN,4,0.56,0,0
39303.67,WALLET,LIMIT_EXCEEDED,4,0.84,0,0
48821.38,WALLET,NETWORK_ERROR,3,0.79,0,0
53645.3,WALLET,LIMIT_EXCEEDED,4,0.75,0,1
46439.0,UPI,NETWORK_ERROR,3,0.52,0,0
38223.06,WALLET,NETWORK_ERROR,0,0.62,1,0
22810.11,UPI,UNKNOWN,0,0.81,0,1
15662.04,CARD,TIMEOUT,0,0.68,0,1
37205.07,UPI,UNKNOWN,1,0.96,0,0
57791.77,WALLET,TIMEOUT,1,0.35,0,0
85104.18,UPI,UNKNOWN,4,0.83,0,0
7361.2,NET_BANKING,INSUFFICIENT_FUNDS,3,0.86,0,0
89211.71,WALLET,INVALID_DETAILS,1,0.6,1,0
80915.82,WALLET,TIMEOUT,3,0.86,1,0
83157.74,UPI,NETWORK_ERROR,3,0.47,0,0
33971.46,WALLET,UNKNOWN,2,0.42,0,0
28326.02,NET_BANKING,LIMIT_EXCEEDED,0,0.65,0,0
49113.5,CARD,INVALID_DETAILS,3,0.74,0,1
29776.44,WALLET,INVALID_DETAILS,1,0.51,1,0
34703.86,NET_BANKING,NETWORK_ERROR,3,0.48,0,0
31897.02,CARD,BANK_ERROR,1,0.8,0,0
52701.37,NET_BANKING,INSUFFICIENT_FUNDS,1,0.5,0,1
53646.44,NET_BANKING,INSUFFICIENT_FUNDS,0,0.68,0,0
10707.47,UPI,LIMIT_EXCEEDED,2,0.62,0,0
25621.6,WALLET,INSUFFICIENT_FUNDS,0,0.57,0,0
15596.84,NET_BANKING,INSUFFICIENT_FUNDS,1,0.38,0,0
22955.87,WALLET,TIMEOUT,3,0.5,1,0
62292.22,UPI,UNKNOWN,1,0.73,0,1
17794.45,UPI,BANK_ERROR,0,0.58,1,1
29166.44,NET_BANKING,INVALID_DETAILS,3,0.35,0,0
62693.27,CARD,TIMEOUT,0,0.67,0,0
7605.28,CARD,UNKNOWN,2,0.7,1,0
47135.45,NET_BANKING,INVALID_DETAILS,3,0.94,1,0
60004.65,WALLET,INVALID_DETAILS,2,0.71,0,0
83677.88,UPI,UNKNOWN,2,0.69,0,0
91649.24,CARD,LIMIT_EXCEEDED,3,0.73,0,0
41130.64,NET_BANKING,INVALID_DETAILS,0,0.88,0,0
66427.06,WALLET,UNKNOWN,4,0.32,0,0
97033.38,WALLET,UNKNOWN,4,0.86,0,0
41618.13,CARD,LIMIT_EXCEEDED,2,0.72,0,0
20754.04,CARD,NETWORK_ERROR,3,0.9,0,0
61082.73,CARD,INVALID_DETAILS,1,0.51,0,1
99229.59,UPI,TIMEOUT,0,0.74,0,0
51132.77,NET_BANKING,TIMEOUT,3,0.97,0,1
19465.73,CARD,UNKNOWN,0,0.49,0,0
27083.68,UPI,NETWORK_ERROR,2,0.87,1,1
15285.24,WALLET,NETWORK_ERROR,2,0.68,1,0
87025.37,CARD,LIMIT_EXCEEDED,3,0.46,0,0
70670.17,WALLET,TIMEOUT,1,0.64,0,0
33533.47,UPI,UNKNOWN,3,0.37,0,0
87157.83,CARD,INSUFFICIENT_FUNDS,3,0.83,0,0
65158.75,NET_BANKING,UNKNOWN,4,0.56,0,0
49050.77,UPI,LIMIT_EXCEEDED,0,0.46,0,0
43680.16,UPI,UNKNOWN,0,0.6,0,1
79716.27,NET_BANKING,NETWORK_ERROR,2,0.59,0,0
79355.69,CARD,BANK_ERROR,0,0.71,0,1
91326.49,CARD,BANK_ERROR,3,0.73,0,1
80560.99,NET_BANKING,INVALID_DETAILS,4,0.41,0,0
30265.85,WALLET,INVALID_DETAILS,2,0.61,0,0
48579.2,CARD,TIMEOUT,4,0.54,0,1
97805.48,WALLET,NETWORK_ERROR,0,0.68,0,0
83367.47,NET_BANKING,UNKNOWN,1,0.71,0,1
25437.37,CARD,INVALID_DETAILS,0,0.91,0,1
58167.59,CARD,INSUFFICIENT_FUNDS,2,0.52,0,1
54171.07,NET_BANKING,LIMIT_EXCEEDED,4,0.92,0,0
48443.86,NET_BANKING,INVALID_DETAILS,2,0.85,0,1
96666.77,WALLET,UNKNOWN,4,0.55,0,0
45751.21,NET_BANKING,LIMIT_EXCEEDED,3,0.86,0,0
2989.95,NET_BANKING,LIMIT_EXCEEDED,1,0.74,0,1
41125.44,CARD,INSUFFICIENT_FUNDS,0,0.51,0,1
53985.89,WALLET,TIMEOUT,2,0.76,1,0
15875.03,WALLET,INVALID_DETAILS,0,0.87,1,0
3755.27,NET_BANKING,BANK_ERROR,3,0.6,0,1
68725.19,NET_BANKING,INSUFFICIENT_FUNDS,3,0.49,0,0
9621.51,CARD,INVALID_DETAILS,4,0.96,0,1
13029.43,CARD,INSUFFICIENT_FUNDS,4,0.44,0,0
77549.67,UPI,NETWORK_ERROR,1,0.97,1,1
66275.24,UPI,BANK_ERROR,0,0.54,0,1
26904.07,CARD,INVALID_DETAILS,3,0.66,0,0
51567.18,UPI,TIMEOUT,4,0.45,1,0
86764.6,NET_BANKING,TIMEOUT,0,0.34,0,1
11242.2,WALLET,INSUFFICIENT_FUNDS,0,0.52,0,1
63491.13,NET_BANKING,TIMEOUT,4,0.66,0,0
79413.06,UPI,UNKNOWN,4,0.79,0,0
41674.45,WALLET,TIMEOUT,3,0.8,0,0
37742.95,CARD,INVALID_DETAILS,3,0.35,0,0
74010.2,CARD,LIMIT_EXCEEDED,0,0.7,1,0
41375.46,WALLET,UNKNOWN,0,0.96,1,1
50987.55,CARD,INVALID_DETAILS,3,0.45,0,0
11931.09,NET_BANKING,LIMIT_EXCEEDED,1,0.85,1,0
61550.54,UPI,LIMIT_EXCEEDED,2,0.32,0,0
34312.55,UPI,BANK_ERROR,1,0.69,0,0
97195.13,UPI,INVALID_DETAILS,4,0.45,0,0
31507.92,NET_BANKING,UNKNOWN,4,0.71,0,0
5451.37,UPI,NETWORK_ERROR,3,0.75,0,1
21949.11,UPI,NETWORK_ERROR,3,0.38,1,0
5019.03,WALLET,LIMIT_EXCEEDED,0,0.31,0,0
76534.01,NET_BANKING,NETWORK_ERROR,0,0.31,0,0
70515.29,NET_BANKING,INSUFFICIENT_FUNDS,3,0.89,0,0
8247.33,NET_BANKING,LIMIT_EXCEEDED,3,0.69,0,0
96636.87,CARD,UNKNOWN,4,0.61,0,0
24709.99,WALLET,LIMIT_EXCEEDED,0,0.57,0,1
78022.23,UPI,LIMIT_EXCEEDED,0,0.66,0,1
72874.22,CARD,BANK_ERROR,0,0.4,0,1
76035.66,UPI,BANK_ERROR,3,0.62,1,0
92453.35,NET_BANKING,UNKNOWN,2,0.4,0,0
79734.8,UPI,NETWORK_ERROR,4,0.35,0,1
83253.81,UPI,INVALID_DETAILS,0,0.72,1,0
95446.03,UPI,TIMEOUT,4,0.74,0,0
95793.37,WALLET,INSUFFICIENT_FUNDS,2,0.97,0,1
25150.5,WALLET,TIMEOUT,4,0.66,0,0
39047.95,NET_BANKING,INVALID_DETAILS,4,0.34,0,0
67998.74,NET_BANKING,NETWORK_ERROR,4,0.89,0,0
91716.27,NET_BANKING,INVALID_DETAILS,3,0.39,0,0
79270.36,CARD,INVALID_DETAILS,4,0.36,0,1
31232.17,CARD,NETWORK_ERROR,3,0.43,0,0
78917.96,UPI,INVALID_DETAILS,2,0.9,1,0
16643.6,CARD,INVALID_DETAILS,3,0.33,0,0
44697.77,NET_BANKING,UNKNOWN,3,0.46,0,0
47167.05,CARD,NETWORK_ERROR,4,0.97,0,0
50539.22,WALLET,BANK_ERROR,1,0.84,0,1
48318.77,NET_BANKING,LIMIT_EXCEEDED,0,0.78,1,1
76430.12,NET_BANKING,TIMEOUT,4,0.4,0,0
81761.97,NET_BANKING,INSUFFICIENT_FUNDS,3,0.34,1,0
8619.74,CARD,INSUFFICIENT_FUNDS,2,0.93,0,1
29044.5,WALLET,INVALID_DETAILS,1,0.82,0,1
8382.96,NET_BANKING,BANK_ERROR,1,0.67,1,1
29166.11,NET_BANKING,INSUFFICIENT_FUNDS,0,0.46,1,1
90562.12,UPI,INVALID_DETAILS,4,0.69,0,1
35605.2,WALLET,BANK_ERROR,0,0.66,0,1
50979.11,UPI,TIMEOUT,3,0.33,0,0
2116.1,UPI,NETWORK_ERROR,1,0.8,0,0
33585.6,UPI,NETWORK_ERROR,4,0.53,0,0
98091.51,WALLET,INVALID_DETAILS,1,0.85,0,0
4179.89,CARD,INSUFFICIENT_FUNDS,1,0.9,0,1
98917.71,WALLET,NETWORK_ERROR,0,0.81,0,0
5256.5,NET_BANKING,NETWORK_ERROR,0,0.84,0,1
89516.43,WALLET,NETWORK_ERROR,1,0.64,0,0
27038.71,UPI,INVALID_DETAILS,3,0.35,1,0
29729.76,UPI,INSUFFICIENT_FUNDS,2,0.75,0,0
17081.15,WALLET,NETWORK_ERROR,3,0.33,0,0
64127.2,UPI,INSUFFICIENT_FUNDS,3,0.55,0,1
60953.5,WALLET,INSUFFICIENT_FUNDS,1,0.35,0,0
3722.34,CARD,INVALID_DETAILS,3,0.95,0,1
14200.66,NET_BANKING,TIMEOUT,2,0.74,0,1
19011.78,WALLET,LIMIT_EXCEEDED,0,0.48,0,1
61381.78,WALLET,BANK_ERROR,0,0.39,0,0
44788.56,UPI,UNKNOWN,2,0.75,0,1
30345.69,CARD,INVALID_DETAILS,1,0.84,1,0
79310.53,CARD,UNKNOWN,3,0.32,1,0
98309.69,CARD,LIMIT_EXCEEDED,0,0.34,0,0
52806.72,WALLET,UNKNOWN,4,0.35,0,0
68170.84,NET_BANKING,BANK_ERROR,4,0.74,0,1
50534.95,UPI,UNKNOWN,0,0.65,0,1
71078.55,NET_BANKING,LIMIT_EXCEEDED,2,0.88,0,0
27807.88,NET_BANKING,LIMIT_EXCEEDED,4,0.36,0,0
17534.46,NET_BANKING,UNKNOWN,4,0.33,0,0
77216.73,NET_BANKING,INVALID_DETAILS,1,0.82,0,1
88955.19,NET_BANKING,INVALID_DETAILS,2,0.63,0,1
6461.35,WALLET,TIMEOUT,3,0.62,0,1
71977.11,NET_BANKING,TIMEOUT,1,0.82,1,1
46914.02,NET_BANKING,TIMEOUT,1,0.4,0,0
61730.06,CARD,UNKNOWN,1,0.85,1,1
16354.57,WALLET,TIMEOUT,2,0.64,0,1
96685.32,CARD,LIMIT_EXCEEDED,2,0.33,0,0
65598.87,WALLET,NETWORK_ERROR,4,0.31,0,0
72887.05,WALLET,NETWORK_ERROR,0,0.57,1,1
29215.87,WALLET,LIMIT_EXCEEDED,3,0.82,0,0
61298.79,CARD,INSUFFICIENT_FUNDS,3,0.55,0,0
14854.6,WALLET,LIMIT_EXCEEDED,0,0.33,0,0
52173.6,CARD,LIMIT_EXCEEDED,4,0.4,1,0
61841.8,NET_BANKING,LIMIT_EXCEEDED,2,0.64,1,0
30329.16,UPI,NETWORK_ERROR,2,0.76,0,0
72669.76,UPI,LIMIT_EXCEEDED,3,0.48,1,0
58560.57,CARD,LIMIT_EXCEEDED,4,0.83,0,0
3641.27,UPI,BANK_ERROR,0,0.6,0,0
41332.55,WALLET,UNKNOWN,0,0.78,1,1
66391.57,WALLET,NETWORK_ERROR,1,0.61,1,0
77312.98,NET_BANKING,LIMIT_EXCEEDED,3,0.43,0,0
94177.81,NET_BANKING,UNKNOWN,2,0.78,0,0
93403.19,NET_BANKING,NETWORK_ERROR,0,0.69,1,0
81928.56,CARD,NETWORK_ERROR,0,0.5,0,1
26016.18,WALLET,BANK_ERROR,1,0.86,0,1
14158.66,CARD,BANK_ERROR,0,0.76,1,1
10469.7,NET_BANKING,INVALID_DETAILS,3,0.37,0,0
92945.42,WALLET,INVALID_DETAILS,3,0.62,0,0
28898.83,UPI,UNKNOWN,0,0.74,0,0
93698.6,CARD,TIMEOUT,1,0.94,0,1
49790.7,NET_BANKING,INSUFFICIENT_FUNDS,0,0.5,1,0
28813.88,WALLET,BANK_ERROR,4,0.62,0,1
73246.36,NET_BANKING,INVALID_DETAILS,1,0.31,0,0
75849.63,CARD,LIMIT_EXCEEDED,3,0.86,1,0
9990.82,CARD,TIMEOUT,2,0.94,0,1
75498.79,NET_BANKING,NETWORK_ERROR,4,0.79,0,0
24012.11,UPI,TIMEOUT,2,0.41,1,0
77099.18,UPI,INVALID_DETAILS,2,0.55,0,0
15741.96,NET_BANKING,TIMEOUT,4,0.92,1,0
76305.03,UPI,LIMIT_EXCEEDED,3,0.66,0,0
6644.93,CARD,LIMIT_EXCEEDED,4,0.4,0,0
68189.38,WALLET,INSUFFICIENT_FUNDS,4,0.6,0,0
45951.45,UPI,LIMIT_EXCEEDED,3,0.76,0,0
81737.1,CARD,LIMIT_EXCEEDED,0,0.33,0,0
6495.44,UPI,TIMEOUT,0,0.5,0,0
97844.16,WALLET,NETWORK_ERROR,3,0.61,0,0
66348.36,CARD,INVALID_DETAILS,2,0.38,1,0
97883.08,UPI,UNKNOWN,0,0.97,0,1
53427.39,CARD,BANK_ERROR,3,0.54,0,0
76666.25,UPI,UNKNOWN,3,0.72,0,1
59597.44,WALLET,LIMIT_EXCEEDED,0,0.47,0,1
22118.29,UPI,BANK_ERROR,4,0.98,0,0
32230.92,NET_BANKING,BANK_ERROR,2,0.9,1,1
6565.28,CARD,INVALID_DETAILS,3,0.68,0,0
67298.58,NET_BANKING,INVALID_DETAILS,3,0.58,0,0
47615.12,CARD,NETWORK_ERROR,1,0.85,0,0
55950.03,CARD,TIMEOUT,1,0.47,0,0
84789.77,UPI,LIMIT_EXCEEDED,1,0.34,0,0
87425.24,CARD,UNKNOWN,4,0.79,1,0
90749.77,NET_BANKING,INSUFFICIENT_FUNDS,1,0.94,0,0
91486.91,CARD,TIMEOUT,1,0.68,0,0
36246.33,NET_BANKING,NETWORK_ERROR,4,0.9,0,0
47214.3,NET_BANKING,BANK_ERROR,2,0.51,0,1
15019.31,NET_BANKING,LIMIT_EXCEEDED,4,0.69,0,0
23386.85,CARD,TIMEOUT,4,0.75,0,0
96667.57,WALLET,TIMEOUT,1,0.8,0,0
49087.47,UPI,LIMIT_EXCEEDED,0,0.87,0,1
76551.71,WALLET,BANK_ERROR,1,0.35,0,0
37633.47,WALLET,INVALID_DETAILS,3,0.31,1,1
53177.06,NET_BANKING,LIMIT_EXCEEDED,2,0.31,0,0
11148.13,UPI,LIMIT_EXCEEDED,1,0.46,1,0
27098.81,WALLET,INSUFFICIENT_FUNDS,2,0.95,0,0
22972.8,UPI,INVALID_DETAILS,0,0.36,0,0
63856.43,CARD,INSUFFICIENT_FUNDS,3,0.87,0,0
9988.5,UPI,BANK_ERROR,1,0.91,1,1
7897.63,NET_BANKING,LIMIT_EXCEEDED,4,0.75,0,0
96166.18,CARD,UNKNOWN,3,0.93,0,0
83547.73,WALLET,INVALID_DETAILS,4,0.53,0,0
8303.56,NET_BANKING,INSUFFICIENT_FUNDS,0,0.6,0,0
95508.41,WALLET,UNKNOWN,2,0.32,0,0
23199.77,WALLET,TIMEOUT,1,0.76,0,0
79906.49,UPI,INSUFFICIENT_FUNDS,2,0.4,0,0
11101.82,UPI,NETWORK_ERROR,3,0.54,0,1
43382.46,WALLET,INSUFFICIENT_FUNDS,0,0.36,1,0
32780.82,WALLET,INSUFFICIENT_FUNDS,2,0.58,0,0
99276.65,CARD,LIMIT_EXCEEDED,4,0.42,0,0
27206.48,CARD,INSUFFICIENT_FUNDS,1,0.6,0,0
36431.93,CARD,INVALID_DETAILS,3,0.7,0,0
1173.35,WALLET,NETWORK_ERROR,4,0.56,0,0
82441.76,CARD,NETWORK_ERROR,2,0.71,0,1
40124.84,NET_BANKING,NETWORK_ERROR,3,0.96,0,1
78693.72,NET_BANKING,INSUFFICIENT_FUNDS,4,0.44,1,0
3178.15,WALLET,INVALID_DETAILS,1,0.6,0,1
84854.9,WALLET,INVALID_DETAILS,3,0.39,0,0
71666.02,WALLET,INSUFFICIENT_FUNDS,3,0.97,0,0
92387.83,WALLET,LIMIT_EXCEEDED,0,0.84,0,0
59585.08,UPI,INSUFFICIENT_FUNDS,1,0.75,0,0
56540.42,WALLET,UNKNOWN,2,0.96,0,1
22589.11,CARD,TIMEOUT,2,0.57,1,1
99771.42,WALLET,INSUFFICIENT_FUNDS,2,0.58,0,0
14596.68,NET_BANKING,NETWORK_ERROR,3,0.83,1,0
44097.51,WALLET,NETWORK_ERROR,0,0.5,0,1
11381.59,CARD,INVALID_DETAILS,1,0.65,1,0
95867.03,CARD,UNKNOWN,3,0.73,0,0
3404.63,CARD,TIMEOUT,4,0.59,0,1
75356.39,UPI,LIMIT_EXCEEDED,0,0.84,1,0
46026.27,NET_BANKING,INVALID_DETAILS,3,0.66,0,0
58906.97,NET_BANKING,NETWORK_ERROR,3,0.72,0,0
67374.95,NET_BANKING,INSUFFICIENT_FUNDS,1,0.51,0,1
39152.1,CARD,LIMIT_EXCEEDED,3,0.59,0,0
64703.38,CARD,LIMIT_EXCEEDED,1,0.63,0,0
62131.29,NET_BANKING,INSUFFICIENT_FUNDS,3,0.39,0,0
49749.5,WALLET,TIMEOUT,3,0.63,0,0
22442.69,UPI,NETWORK_ERROR,1,0.67,0,1
77368.49,WALLET,LIMIT_EXCEEDED,4,0.38,0,0
99093.92,UPI,UNKNOWN,3,0.67,0,0
75258.88,NET_BANKING,UNKNOWN,0,0.61,0,1
86596.4,UPI,UNKNOWN,1,0.44,1,0
61221.05,WALLET,BANK_ERROR,4,0.39,0,0
57222.4,NET_BANKING,LIMIT_EXCEEDED,4,0.41,0,0
85872.68,UPI,BANK_ERROR,3,0.92,0,1
86674.84,CARD,BANK_ERROR,2,0.86,0,0
27237.36,WALLET,TIMEOUT,3,0.35,0,0
69623.01,NET_BANKING,TIMEOUT,3,0.52,0,0
9767.59,WALLET,INVALID_DETAILS,2,0.88,1,0
82572.34,WALLET,NETWORK_ERROR,2,0.86,0,1
85316.05,NET_BANKING,INVALID_DETAILS,0,0.33,0,0
16219.36,WALLET,INSUFFICIENT_FUNDS,3,0.44,0,0
87505.13,NET_BANKING,INSUFFICIENT_FUNDS,2,0.47,0,0
5652.83,NET_BANKING,INVALID_DETAILS,1,0.59,0,1
47942.27,CARD,LIMIT_EXCEEDED,1,0.65,0,0
81802.35,WALLET,INVALID_DETAILS,1,0.62,0,0
10691.5,NET_BANKING,NETWORK_ERROR,2,0.39,0,0
7306.95,UPI,LIMIT_EXCEEDED,1,0.6,0,1
41465.13,WALLET,UNKNOWN,1,0.36,0,1
73135.91,NET_BANKING,TIMEOUT,2,0.84,0,1
55562.96,NET_BANKING,UNKNOWN,0,0.88,0,0
19270.33,WALLET,NETWORK_ERROR,0,0.83,0,1
50208.46,UPI,LIMIT_EXCEEDED,0,0.97,0,0
57053.85,NET_BANKING,LIMIT_EXCEEDED,1,0.82,0,1
26587.44,UPI,INSUFFICIENT_FUNDS,3,0.64,1,0
40526.6,CARD,NETWORK_ERROR,0,0.51,1,0
15960.02,NET_BANKING,TIMEOUT,4,0.73,0,0
95366.08,CARD,INSUFFICIENT_FUNDS,1,0.36,0,0
5975.35,CARD,INSUFFICIENT_FUNDS,0,0.78,0,0
52539.03,NET_BANKING,BANK_ERROR,2,0.39,0,1
90039.79,NET_BANKING,UNKNOWN,3,0.48,0,0
62939.52,WALLET,TIMEOUT,4,0.54,0,1
16152.34,UPI,LIMIT_EXCEEDED,0,0.46,1,0
1722.66,UPI,TIMEOUT,2,0.56,0,0
4018.68,WALLET,BANK_ERROR,2,0.47,0,1
37594.41,UPI,BANK_ERROR,1,0.85,0,1
46776.87,NET_BANKING,UNKNOWN,2,0.52,1,0
29513.71,NET_BANKING,INVALID_DETAILS,4,0.46,0,0
77375.02,CARD,INVALID_DETAILS,4,0.82,0,0
2879.07,NET_BANKING,INVALID_DETAILS,0,0.95,0,1
73939.22,NET_BANKING,INSUFFICIENT_FUNDS,1,0.66,0,0
97269.64,CARD,INVALID_DETAILS,2,0.36,0,0
70234.27,NET_BANKING,TIMEOUT,0,0.69,1,0
7945.63,UPI,TIMEOUT,1,0.46,0,0
39598.79,NET_BANKING,NETWORK_ERROR,3,0.48,0,1
77129.59,UPI,BANK_ERROR,0,0.41,0,1
36149.6,CARD,TIMEOUT,2,0.62,0,0
30769.39,UPI,BANK_ERROR,2,0.4,0,1
5370.59,NET_BANKING,NETWORK_ERROR,1,0.32,0,0
55237.03,UPI,TIMEOUT,0,0.85,0,1
78205.52,CARD,BANK_ERROR,1,0.86,0,0
8861.92,NET_BANKING,UNKNOWN,0,0.31,0,0
81025.22,UPI,UNKNOWN,2,0.38,0,0
43599.06,WALLET,TIMEOUT,0,0.56,0,1
19121.54,NET_BANKING,TIMEOUT,1,0.32,1,0
50139.72,WALLET,INSUFFICIENT_FUNDS,0,0.49,0,0
79821.2,CARD,INVALID_DETAILS,4,0.84,0,0
54679.52,WALLET,NETWORK_ERROR,4,0.64,0,1
59913.08,UPI,UNKNOWN,2,0.34,0,0
99960.77,CARD,INSUFFICIENT_FUNDS,1,0.75,0,0
73837.48,CARD,LIMIT_EXCEEDED,3,0.54,0,0
80717.92,NET_BANKING,LIMIT_EXCEEDED,0,0.78,0,0
56529.33,CARD,UNKNOWN,3,0.67,0,1
23646.02,CARD,INSUFFICIENT_FUNDS,4,0.63,0,1
13483.71,CARD,UNKNOWN,2,0.34,0,0
77549.47,NET_BANKING,INSUFFICIENT_FUNDS,2,0.78,0,1
32599.02,CARD,INVALID_DETAILS,3,0.84,0,1
96889.92,NET_BANKING,BANK_ERROR,4,0.85,0,0
13171.16,UPI,INVALID_DETAILS,4,0.57,1,0
92143.3,CARD,INVALID_DETAILS,4,0.37,0,0
24180.59,NET_BANKING,BANK_ERROR,0,0.86,0,1
25329.32,UPI,NETWORK_ERROR,2,0.84,0,1
42255.5,CARD,TIMEOUT,3,0.9,0,1
48209.18,CARD,BANK_ERROR,3,0.35,0,0
95190.38,UPI,NETWORK_ERROR,1,0.9,0,1
89863.36,UPI,NETWORK_ERROR,4,0.97,0,1
65536.7,WALLET,BANK_ERROR,0,0.37,0,1
55634.19,NET_BANKING,INVALID_DETAILS,2,0.5,0,0
84065.52,CARD,INSUFFICIENT_FUNDS,2,0.3,0,0
60221.45,CARD,INSUFFICIENT_FUNDS,0,0.44,0,0
11993.14,WALLET,TIMEOUT,3,0.91,0,0
18895.68,WALLET,NETWORK_ERROR,1,0.6,0,1
83789.34,UPI,BANK_ERROR,0,0.36,0,1
75767.46,CARD,LIMIT_EXCEEDED,0,0.87,1,0
86755.95,WALLET,LIMIT_EXCEEDED,1,0.62,0,0
3955.49,CARD,INSUFFICIENT_FUNDS,3,0.42,0,0
13055.51,WALLET,INSUFFICIENT_FUNDS,3,0.44,0,0
91125.05,UPI,INSUFFICIENT_FUNDS,3,0.68,1,0
46086.64,UPI,UNKNOWN,4,0.7,0,1
56876.1,UPI,INSUFFICIENT_FUNDS,4,0.83,0,0
87850.41,NET_BANKING,TIMEOUT,3,0.69,0,0
14813.34,WALLET,INSUFFICIENT_FUNDS,3,0.9,0,1
47784.21,NET_BANKING,NETWORK_ERROR,0,0.53,0,0
85894.36,UPI,UNKNOWN,1,0.39,0,0
73015.54,UPI,BANK_ERROR,3,0.44,0,0
86785.3,UPI,LIMIT_EXCEEDED,1,0.34,1,0
52666.48,UPI,BANK_ERROR,1,0.9,0,1
45916.64,NET_BANKING,INVALID_DETAILS,1,0.49,0,0
12825.35,UPI,BANK_ERROR,2,0.63,0,0
58894.58,NET_BANKING,NETWORK_ERROR,1,0.87,0,0
28864.4,WALLET,INSUFFICIENT_FUNDS,1,0.88,0,0
